days,genotype,proportion,location
79,GT,0.9,cage 2
88,GT,0.9,cage 2
91,GT,0.9,cage 2
98,GT,0.9,cage 2
0,HS,1,cage 2
7,HS,1,cage 2
14,HS,1,cage 2
18,HS,1,cage 2
29,HS,0.9,cage 2
41,HS,0.9,cage 2
51,HS,0.9,cage 2
57,HS,0.9,cage 2
66,HS,0.9,cage 2
73,HS,0.9,cage 2
79,HS,0.9,cage 2
88,HS,0.9,cage 2
91,HS,0.9,cage 2
98,HS,0.9,cage 2
0,IR,1,cage 2
7,IR,1,cage 2
14,IR,1,cage 2
18,IR,1,cage 2
29,IR,1,cage 2
41,IR,1,cage 2
51,IR,1,cage 2
57,IR,1,cage 2
66,IR,1,cage 2
73,IR,1,cage 2
79,IR,1,cage 2
88,IR,1,cage 2
91,IR,1,cage 2
98,IR,1,cage 2
0,JQ,1,cage 2
7,JQ,1,cage 2
14,JQ,1,cage 2
18,JQ,1,cage 2
29,JQ,1,cage 2
41,JQ,1,cage 2
51,JQ,1,cage 2
57,JQ,1,cage 2
66,JQ,1,cage 2
73,JQ,0.9,cage 2
79,JQ,0.9,cage 2
88,JQ,0.9,cage 2
91,JQ,0.9,cage 2
98,JQ,0.8,cage 2
0,AZ,0.666666667,field
51,AZ,0.066666667,field
59,AZ,0.066666667,field
84,AZ,0.066666667,field
0,BY,1,field
51,BY,0.269230769,field
59,BY,0.269230769,field
84,BY,0.269230769,field
0,CX,1,field
51,CX,0.4,field
59,CX,0.24,field
84,CX,0.12,field
0,DW,1,field
51,DW,0.2,field
59,DW,0.2,field
84,DW,0.2,field
0,EV,1,field
51,EV,0.208333333,field
59,EV,0.083333333,field
84,EV,0.041666667,field
0,FU,0.88,field
51,FU,0.2,field
59,FU,0.2,field
84,FU,0.2,field
0,GT,0.846153846,field
51,GT,0.230769231,field
59,GT,0.230769231,field
84,GT,0.230769231,field
0,HS,1,field
51,HS,0.68,field
59,HS,0.6,field
84,HS,0.56,field
0,IR,0.96,field
51,IR,0.44,field
59,IR,0.4,field
84,IR,0.28,field
0,JQ,1,field
51,JQ,0.296296296,field
59,JQ,0.296296296,field
84,JQ,0.259259259,field
