,,,,,12/11-12/19,,1/30/20,,2/7/20,,3/3/20,
,genotype,acclimation group,ID,date planted,health,bite,health,bite,health,bite,health,bite
9GT35,GT,5,21,12/12/19,,,,,,,,
9GT4,GT,5,22,12/12/19,,,,,,,,
9GT47,GT,5,23,12/12/19,n/a,n/a,,,,,,
9GT30,GT,5,24,12/12/19,1,b,,,,,,
9GT46,GT,5,25,12/12/19,1,b,,,,,,
6HS19,HS,1,1,12/12/19,1,b,2,b,2,b,1,b
8HS21,HS,1,2,12/12/19,1,b,,,,,,
8HS22,HS,1,3,12/12/19,1,b,1,b,1,b,2,b
8HS23,HS,1,4,12/12/19,2,b,,,,,,
8HS24,HS,1,5,12/12/19,1,b,,,,,,
2HS9,HS,2,6,12/12/19,2,a,,,,,,
4HS12,HS,2,7,12/12/19,1,b,,,,,1,b
4HS13,HS,2,8,12/12/19,1,b,,,,,,
4HS14,HS,2,9,12/12/19,1,b,1,b,2,b,1,b
4HS15,HS,2,10,12/12/19,1,b,1,b,1,b,,
0HS1,HS,3,11,12/12/19,,,1,b,1,b,1,a
1HS40,HS,3,12,12/12/19,1,b,1,b,2,b,2,b
1HS49,HS,3,13,12/12/19,,,1,b,,,,
1HS37,HS,3,14,12/12/19,1,b,1,b,1,b,1,b
1HS45,HS,3,15,12/12/19,,,,,,,1,b
2HS20,HS,4,16,12/12/19,,,,,,,,
2HS27,HS,4,17,12/12/19,1,b,,,,,,
2HS15,HS,4,18,12/12/19,1,b,,,3,b,3,b
2HS17,HS,4,19,12/12/19,1,b,,,,,,
2HS11,HS,4,20,12/12/19,,,,,,,,
9HS52,HS,5,21,12/12/19,1,b,,,,,,
9HS46,HS,5,22,12/12/19,1,b,2,b,2,b,1,b
9HS13,HS,5,23,12/12/19,1,b,2,b,2,b,2,b
9HS131,HS,5,24,12/12/19,2,a,2,a,2,b,2,b
9HS47,HS,5,25,12/12/19,1,b,2,b,2,b,2,b
0HS2,,,,,,,3,?,,,,
3HS29,,,,,,,,,,,2,b
6IR16,IR,1,1,12/12/19,1,b,,,,,,
6IR18,IR,1,2,12/12/19,1,b,,,,,,
6IR19,IR,1,3,12/12/19,1,b,,,,,,
6IR20,IR,1,4,12/12/19,1,b,,,,,,
8IR24,IR,1,5,12/12/19,2,b,2,b,2,b,2,b
2IR7,IR,2,6,12/12/19,1,b,2,b,,,,
2IR9,IR,2,7,12/12/19,1,b,2,a,,,2,b
2IR10,IR,2,8,12/12/19,2,b,,,,,,
4IR12,IR,2,9,12/12/19,1,b,2,b,1,b,1,b
4IR15,IR,2,10,12/12/19,1,b,1,b,1,b,2,b
0IR1,IR,3,11,12/12/19,1,b,,,,,,
0IR48,IR,3,12,12/12/19,2,b,2,a,2,b,2,b
0IR50,IR,3,13,12/12/19,,,2,b,2,b,,
0IR53,IR,3,14,12/12/19,1,b,,,,,,
0IR54,IR,3,15,12/12/19,1,b,3,a,3,a,,
2IR51,IR,4,16,12/12/19,1,b,,,,,,
2IR6,IR,4,17,12/12/19,1,b,,,,,,
2IR52,IR,4,18,12/12/19,,,2,b,2,a,2,a
2IR50,IR,4,19,12/12/19,1,b,,,,,,
2IR7,IR,4,20,12/12/19,2,b,,,,,,
9IR2,IR,5,21,12/12/19,,,2,b,2,a,,
9IR42,IR,5,22,12/12/19,1,b,,,2,b,2,b
9IR8,IR,5,23,12/12/19,1,b,,,,,,
9IR1,IR,5,24,12/12/19,1,a,,,,,,
9IR44,IR,5,25,12/12/19,,,,,,,,
6JQ16,JQ,1,1,12/11/19,,,,,,,,
6JQ17,JQ,1,2,12/11/19,,,1,b,1,b,1,b
6JQ18,JQ,1,3,12/11/19,1,b,,,1,b,1,b
8JQ21,JQ,1,4,12/11/19,,,,,,,,
8JQ23,JQ,1,5,12/11/19,1,b,2,b,2,b,2,b
2JQ6,JQ,2,6,12/11/19,,,,,,,,
2JQ8,JQ,2,7,12/11/19,,,1,b,1,b,,
4JQ12,JQ,2,8,12/11/19,1,b,,,,,,
4JQ14,JQ,2,9,12/11/19,,,,,,,,
4JQ15,JQ,2,10,12/11/19,,,2,a,2,a,2,a
0J145,JQ,3,11,12/11/19,,,,,,,,
0JQ4,JQ,3,12,12/11/19,,,,,,,,
0JQ47,JQ,3,13,12/11/19,1,b,,,,,,
0JQ44,JQ,3,14,12/11/19,,,2,b,2,b,2,b
0JQ49,JQ,3,15,12/11/19,,,,,,,,
2JQ41,JQ,4,16,12/11/19,,,,,,,,
2JQ8,JQ,4,17,12/11/19,,,,,,,,
2JQ30,JQ,4,18,12/11/19,1,b,1,b,1,b,1,b
2JQ32,JQ,4,19,12/11/19,,,,,,,,
2JQ31,JQ,4,20,12/11/19,1,b,,,,,,
9JQ5,JQ,5,21,12/11/19,,,,,,,,
9JQ4,JQ,5,22,12/11/19,,,,,,,,
9JQ53,JQ,5,23,12/11/19,,,,,,,,
9JQ42,JQ,5,24,12/11/19,,,,,,,,
9JQ431,JQ,5,25,12/11/19,,,,,,,,
JQ7,,,,12/11/19,2,a,2,a,2,a,2,a
3JQ1,,,,12/11/19,1,b,,,,,,
