plug ID,genotype,acclimation,count,date fragmented,date put in cage,sampled or planted,date of mortality,date sampled or planted,bite presence,mortality type,morphology,missing,mortality location,morality: known,mortality: assumed
4HS11,HS,2,31,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2HS10,HS,2,32,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2HS8,HS,2,33,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2HS7,HS,2,34,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2HS6,HS,2,35,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
0HS3,HS,3,36,8/2/19,11/4/19,s,,12/5/19,,,t,,,,
1HS42,HS,3,37,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0HS4,HS,3,38,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
1HS39,HS,3,39,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0HS49,HS,3,40,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
2HS1,HS,4,41,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2HS2,HS,4,42,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2HS6,HS,4,43,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2HS12,HS,4,44,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2HS48,HS,4,45,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
9HS50,HS,5,46,10/23/19,,s,,12/6/19,,,t,,,,
9HS44,HS,5,47,10/23/19,,s,,12/6/19,,,t,,,,
9HS10,HS,5,48,10/23/19,,s,12/6/19,,,,t,,,,
9HS14,HS,5,49,10/23/19,,s,,12/6/19,,,t,,,,
9HS51,HS,5,50,10/23/19,,s,,12/6/19,,,t,,,,
6IR16,IR,1,1,8/2/19,8/8/19,p,1/30/20,12/12/19,a,w,t,,f,1/30/20,
6IR18,IR,1,2,8/2/19,8/8/19,p,1/30/20,12/12/19,a,w,t,,f,1/30/20,
6IR19,IR,1,3,8/2/19,8/8/19,p,1/30/20,12/12/19,a,l,t,,f,1/30/20,
6IR20,IR,1,4,8/2/19,8/8/19,p,1/30/20,12/12/19,a,c,t,,f,1/30/20,
8IR24,IR,1,5,8/2/19,8/8/19,p,,12/12/19,a,,t,,,,
2IR7,IR,2,6,8/7/19,8/22/19,p,2/7/20,12/12/19,a,l,t,,f,2/7/20,
2IR9,IR,2,7,8/7/19,8/22/19,p,,12/12/19,b,,t,,,,
2IR10,IR,2,8,8/7/19,8/22/19,p,1/30/20,12/12/19,a,l,t,,f,1/30/20,
4IR12,IR,2,9,8/7/19,8/22/19,p,,12/12/19,a,,t,,,,
4IR15,IR,2,10,8/7/19,8/22/19,p,,12/12/19,a,,t,,,,
0IR1,IR,3,11,10/23/19,11/4/19,p,1/30/20,12/12/19,a,l,t,,f,1/30/20,
0IR48,IR,3,12,10/23/19,11/4/19,p,,12/12/19,b,,t,,,,
0IR50,IR,3,13,10/23/19,11/4/19,p,3/3/20,12/12/19,a,,t,,f,3/3/20,
0IR53,IR,3,14,10/23/19,11/4/19,p,1/30/20,12/12/19,a,,t,m,f,,1/30/20
0IR54,IR,3,15,10/23/19,11/4/19,p,,12/12/19,b,,t,,,,
2IR51,IR,4,16,10/23/19,11/18/19,p,1/30/20,12/12/19,a,l,t,,f,1/30/20,
2IR6,IR,4,17,10/23/19,11/18/19,p,1/30/20,12/12/19,a,l,t,,f,1/30/20,
2IR52,IR,4,18,10/23/19,11/18/19,p,,12/12/19,b,,t,,,,
2IR50,IR,4,19,10/23/19,11/18/19,p,1/30/20,12/12/19,a,,t,m,f,,1/30/20
2IR7,IR,4,20,10/23/19,11/18/19,p,1/30/20,12/12/19,a,,t,m,f,,1/30/20
9IR2,IR,5,21,10/23/19,,p,3/3/20,12/12/19,b,c,t,,f,3/3/20,
9IR42,IR,5,22,10/23/19,,p,,12/12/19,a,,t,,,,
9IR8,IR,5,23,10/23/19,,p,1/30/20,12/12/19,a,w,t,,f,1/30/20,
9IR1,IR,5,24,10/23/19,,p,1/30/20,12/12/19,b,l,t,,f,1/30/20,
9IR44,IR,5,25,10/23/19,,p,12/11/19,,,,t,,r,,
8IR25,IR,1,26,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
8IR23,IR,1,27,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
8IR22,IR,1,28,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
8IR21,IR,1,29,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
6IR17,IR,1,30,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
4IR14,IR,2,31,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
4IR13,IR,2,32,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
4IR11,IR,2,33,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2IR8,IR,2,34,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2IR6,IR,2,35,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
0IR46,IR,3,36,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
01R47,IR,3,37,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
01R49,IR,3,38,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
01R3,IR,3,39,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
01R4,IR,3,40,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
2IR8,IR,4,41,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2IR5,IR,4,42,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2IR45,IR,4,43,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2IR32,IR,4,44,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2IR33,IR,4,45,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
9IR21,IR,5,46,10/23/19,,s,12/6/19,,,,t,,r,,
9IR4,IR,5,47,10/23/19,,s,,12/6/19,,,t,,,,
9IR3,IR,5,48,10/23/19,,s,,12/6/19,,,t,,,,
9IR10,IR,5,49,10/23/19,,s,,12/6/19,,,t,,,,
9IR36,IR,5,50,10/23/19,,s,,12/6/19,,,t,,,,
6JQ16,JQ,1,1,8/2/19,8/8/19,p,1/30/20,12/11/19,a,l,t,,f,1/30/20,
6JQ17,JQ,1,2,8/2/19,8/8/19,p,,12/11/19,a,,t,,,,
6JQ18,JQ,1,3,8/2/19,8/8/19,p,,12/11/19,a,,t,,,,
8JQ21,JQ,1,4,8/2/19,8/8/19,p,1/30/20,12/11/19,a,c,t,,f,1/30/20,
8JQ23,JQ,1,5,8/2/19,8/8/19,p,,12/11/19,a,,t,,,,
2JQ6,JQ,2,6,8/7/19,8/22/19,p,1/30/20,12/11/19,a,c,t,,f,1/30/20,
2JQ8,JQ,2,7,8/7/19,8/22/19,p,3/3/20,12/11/19,a,,t,,f,3/3/20,
4JQ12,JQ,2,8,8/7/19,8/22/19,p,1/30/20,12/11/19,a,l,t,,f,1/30/20,
4JQ14,JQ,2,9,8/7/19,8/22/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
4JQ15,JQ,2,10,8/7/19,8/22/19,p,,12/11/19,b,,t,,,,
0J145,JQ,3,11,10/23/19,11/4/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
0JQ4,JQ,3,12,10/23/19,11/4/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
0J147,JQ,3,13,10/23/19,11/4/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
0J144,JQ,3,14,10/23/19,11/4/19,p,,12/11/19,a,,t,,,,
0JQ49,JQ,3,15,10/23/19,11/4/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
2JQ41,JQ,4,16,10/23/19,11/18/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
2JQ8,JQ,4,17,10/23/19,11/18/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
2JQ30,JQ,4,18,10/23/19,11/18/19,p,,12/11/19,a,,t,,,,
2JQ32,JQ,4,19,10/23/19,11/18/19,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
2JQ31,JQ,4,20,10/23/19,11/18/19,p,1/30/20,12/11/19,a,l,t,,f,1/30/20,
9JQ5,JQ,5,21,10/23/19,,p,1/30/20,12/11/19,a,l,t,,f,1/30/20,
9JQ4,JQ,5,22,10/23/19,,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
9JQ53,JQ,5,23,10/23/19,,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
9JQ42,JQ,5,24,10/23/19,,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
9JQ431,JQ,5,25,10/23/19,,p,1/30/20,12/11/19,a,,t,m,f,,1/30/20
JQ7,JQ,5,26,10/23/19,,p,1/30/20,12/11/19,b,l,t,,f,1/30/20,
3JQ1,JQ,5,27,10/23/19,,p,1/30/20,12/11/19,a,l,t,,f,1/30/20,
8JQ25,JQ,1,28,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
8JQ24,JQ,1,29,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
8JQ22,JQ,1,30,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
6JQ20,JQ,1,31,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
6JQ19,JQ,1,32,8/2/19,8/8/19,s,,12/4/19,,,t,,,,
4JQ13,JQ,2,33,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
4JQ11,JQ,2,34,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2JQ10,JQ,2,35,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2JQ9,JQ,2,36,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
2JQ7,JQ,2,37,8/7/19,8/22/19,s,,12/4/19,,,t,,,,
0JQ2,JQ,3,38,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0JQ5,JQ,3,39,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0J146,JQ,3,40,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0JQ3,JQ,3,41,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
0JQ1,JQ,3,42,10/23/19,11/4/19,s,,12/5/19,,,t,,,,
2JQ3,JQ,4,43,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2JQ37,JQ,4,44,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2JQ33,JQ,4,45,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2JQ42,JQ,4,46,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
2JQ28,JQ,4,47,10/23/19,11/18/19,s,,12/5/19,,,t,,,,
9JQ38,JQ,5,48,10/23/19,,s,,12/6/19,,,t,,,,
9JQ52,JQ,5,49,10/23/19,,s,,12/6/19,,,t,,,,
9JQ43,JQ,5,50,10/23/19,,s,,12/6/19,,,t,,,,
9JQ39,JQ,5,51,10/23/19,,s,,12/6/19,,,t,,,,
9JQ34,JQ,5,52,10/23/19,,s,12/6/19,,,,t,,r,,
1JQ42,JQ,5,53,10/23/19,,s,,12/6/19,,,t,,,,
